# file...... house_meter.csv
# date...... Sat May 15 03:01:01 2021
# user...... parallels
# host...... (null)
# target.... triplex_meter 14
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,measured_real_power,measured_voltage_1,measured_current_1
2021-01-08 04:00:00 UTC,+920,+120.025+119.987d,-3.83102+6.63902j
2021-01-08 04:15:00 UTC,+440,+120.032+119.994d,-1.8325+3.17477j
2021-01-08 04:30:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-08 04:45:00 UTC,+680,+120.029+119.99d,-2.83183+4.90678j
2021-01-08 05:00:00 UTC,+2280,+120.005+119.968d,-9.49034+16.4592j
2021-01-08 05:15:00 UTC,+1840,+120.011+119.974d,-7.6599+13.2813j
2021-01-08 05:30:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-08 05:45:00 UTC,+520,+120.031+119.993d,-2.16562+3.75208j
2021-01-08 06:00:00 UTC,+1200,+120.021+119.983d,-4.99656+8.66023j
2021-01-08 06:15:00 UTC,+960,+120.024+119.986d,-3.99754+6.92774j
2021-01-08 06:30:00 UTC,+5600,+119.955+119.921d,-23.2861+40.4621j
2021-01-08 06:45:00 UTC,+6680,+119.938+119.905d,-27.7678+48.2795j
2021-01-08 07:00:00 UTC,+5880,+119.95+119.917d,-24.4483+42.4884j
2021-01-08 07:15:00 UTC,+8280,+119.914+119.882d,-34.4019+59.8691j
2021-01-08 07:30:00 UTC,+9160,+119.901+119.87d,-38.0479+66.2477j
2021-01-08 07:45:00 UTC,+6760,+119.937+119.904d,-28.0996+48.8587j
2021-01-08 08:00:00 UTC,+5480,+119.956+119.922d,-22.7879+39.5938j
2021-01-08 08:15:00 UTC,+6880,+119.935+119.902d,-28.5974+49.7277j
2021-01-08 08:30:00 UTC,+6480,+119.941+119.908d,-26.9381+46.8315j
2021-01-08 08:45:00 UTC,+4320,+119.974+119.939d,-17.9705+31.2029j
2021-01-08 09:00:00 UTC,+2760,+119.997+119.961d,-11.4866+19.9269j
2021-01-08 09:15:00 UTC,+4400,+119.973+119.938d,-18.3029+31.7814j
2021-01-08 09:30:00 UTC,+4200,+119.976+119.94d,-17.472+30.3352j
2021-01-08 09:45:00 UTC,+2400,+120.003+119.966d,-9.98948+17.326j
2021-01-08 10:00:00 UTC,+2400,+120.003+119.966d,-9.98947+17.326j
2021-01-08 10:15:00 UTC,+2520,+120.001+119.964d,-10.4886+18.1929j
2021-01-08 10:30:00 UTC,+2400,+120.003+119.966d,-9.98947+17.326j
2021-01-08 10:45:00 UTC,+2360,+120.003+119.967d,-9.8231+17.0371j
2021-01-08 11:00:00 UTC,+2600,+120+119.963d,-10.8213+18.7709j
2021-01-08 11:15:00 UTC,+2360,+120.003+119.967d,-9.8231+17.0371j
2021-01-08 11:30:00 UTC,+2400,+120.003+119.966d,-9.98947+17.326j
2021-01-08 11:45:00 UTC,+2640,+119.999+119.963d,-10.9876+19.0599j
2021-01-08 12:00:00 UTC,+2440,+120.002+119.965d,-10.1558+17.615j
2021-01-08 12:15:00 UTC,+2440,+120.002+119.965d,-10.1558+17.615j
2021-01-08 12:30:00 UTC,+2560,+120+119.964d,-10.6549+18.4819j
2021-01-08 12:45:00 UTC,+2520,+120.001+119.964d,-10.4886+18.1929j
2021-01-08 13:00:00 UTC,+2480,+120.002+119.965d,-10.3222+17.904j
2021-01-08 13:15:00 UTC,+2560,+120+119.964d,-10.6549+18.4819j
2021-01-08 13:30:00 UTC,+2520,+120.001+119.964d,-10.4886+18.1929j
2021-01-08 13:45:00 UTC,+3320,+119.989+119.953d,-13.8149+23.9736j
2021-01-08 14:00:00 UTC,+2680,+119.999+119.962d,-11.154+19.3489j
2021-01-08 14:15:00 UTC,+2600,+120+119.963d,-10.8213+18.7709j
2021-01-08 14:30:00 UTC,+2440,+120.002+119.965d,-10.1558+17.615j
2021-01-08 14:45:00 UTC,+2480,+120.002+119.965d,-10.3222+17.904j
2021-01-08 15:00:00 UTC,+2520,+120.001+119.964d,-10.4886+18.1929j
2021-01-08 15:15:00 UTC,+2360,+120.003+119.967d,-9.8231+17.0371j
2021-01-08 15:30:00 UTC,+3400,+119.988+119.952d,-14.1474+24.5518j
2021-01-08 15:45:00 UTC,+3560,+119.985+119.95d,-14.8125+25.7083j
2021-01-08 16:00:00 UTC,+3440,+119.987+119.951d,-14.3137+24.8409j
2021-01-08 16:15:00 UTC,+3440,+119.987+119.951d,-14.3137+24.8409j
2021-01-08 16:30:00 UTC,+5040,+119.963+119.928d,-20.961+36.4104j
2021-01-08 16:45:00 UTC,+6440,+119.942+119.909d,-26.7721+46.5419j
2021-01-08 17:00:00 UTC,+3560,+119.985+119.95d,-14.8125+25.7083j
2021-01-08 17:15:00 UTC,+3720,+119.983+119.947d,-15.4775+26.8649j
2021-01-08 17:30:00 UTC,+3720,+119.983+119.947d,-15.4775+26.8649j
