# file...... 1Meter_611_C_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_24:measured_power,house_meter_611_C_25:measured_power,house_meter_611_C_26:measured_power,house_meter_611_C_27:measured_power,house_meter_611_C_28:measured_power,house_meter_611_C_29:measured_power,house_meter_611_C_30:measured_power,house_meter_611_C_31:measured_power,house_meter_611_C_32:measured_power,house_meter_611_C_33:measured_power,house_meter_611_C_34:measured_power,house_meter_611_C_35:measured_power,house_meter_611_C_36:measured_power,house_meter_611_C_37:measured_power,house_meter_611_C_38:measured_power,house_meter_611_C_39:measured_power,house_meter_611_C_40:measured_power
2021-01-06 08:00:00 PST,+12433.7+0.0622904d,+6128.15+0.0305339d,+11428.4+0.0570744d,+10785.3+0.0538475d,+920.183+0.00457451d,+12353.2+0.0617179d,+9138.15+0.0455911d,+2641.51+0.0131416d,+6850.19+0.0341422d,+9861.01+0.0489005d,+2561.41+0.012662d,+2881.79+0.0142477d,+2561.41+0.012662d,+3843.18+0.0190087d,+1640.58+0.00810676d,+2281.12+0.011275d,+2801.69+0.0138512d
2021-01-06 08:15:00 PST,+15734.2+0.0791223d,+12514.3+0.0628294d,+11629.6+0.058365d,+11267.8+0.0565402d,+10383.6+0.0520832d,+11227.6+0.0563375d,+10544.3+0.0528932d,+1240.33+0.00619664d,+5526.66+0.0276625d,+6007.81+0.0298305d,+2120.97+0.0105136d,+6649.57+0.0330263d,+2561.55+0.0126999d,+7492.15+0.0372247d,+3602.8+0.0178704d,+2521.37+0.0125005d,+2561.42+0.0126992d
2021-01-06 08:30:00 PST,+11991.3+0.0598619d,+11348+0.0566878d,+11549+0.057697d,+11830.5+0.0591103d,+11750.1+0.0587064d,+14002.7+0.0700303d,+10785.3+0.0538636d,+1920.8+0.00955586d,+5205.88+0.0259359d,+1880.76+0.00927074d,+2241.08+0.0110486d,+2921.83+0.0144089d,+5339.2+0.0263574d,+8656.14+0.042793d,+5967.66+0.0294679d,+2961.88+0.0146067d,+2481.32+0.0122342d
2021-01-06 08:45:00 PST,+11669.8+0.0586873d,+6168.3+0.0309036d,+15492.6+0.0779373d,+3923.36+0.019637d,+12433.8+0.0624657d,+11308+0.0567814d,+14043.2+0.0706008d,+9499.72+0.0476638d,+5125.73+0.0256686d,+1880.76+0.00932213d,+7010.64+0.0348259d,+5807.29+0.0288332d,+3322.38+0.0164779d,+5727.09+0.028434d,+2401.25+0.0119046d,+5366.23+0.0266382d,+2521.37+0.0125008d
2021-01-06 09:00:00 PST,+8817.01+0.0442956d,+3763.07+0.0187565d,+11790.3+0.058973d,+640.089+0.00318611d,+12313+0.0616018d,+11227.5+0.056144d,+11951.1+0.0597816d,+11348.1+0.05675d,+5807.33+0.0289715d,+1520.5+0.00751113d,+9097.87+0.0450899d,+2401.24+0.0118664d,+1800.7+0.00889636d,+1920.79+0.00949019d,+2841.74+0.0140459d,+3322.38+0.016425d,+6047.89+0.0299344d
2021-01-06 09:15:00 PST,+7853.39+0.0391392d,+3843.19+0.0190486d,+8776.67+0.0435943d,+720.112+0.0035644d,+11106.7+0.0552237d,+11106.7+0.0552237d,+11950.9+0.0594431d,+11388.1+0.0566296d,+5686.99+0.0282098d,+3602.78+0.0177444d,+7090.8+0.0349761d,+2601.45+0.0128072d,+2080.93+0.0102423d,+1720.63+0.00846763d,+6448.93+0.0318012d,+2281.12+0.0112286d,+7532.19+0.0371603d
2021-01-06 09:30:00 PST,+8214.6+0.0408115d,+4364.11+0.0216236d,+8856.96+0.0439706d,+840.152+0.00415653d,+11347.9+0.0563977d,+11388.1+0.0565985d,+11388.1+0.0565985d,+11267.5+0.0559962d,+5446.41+0.0269989d,+2401.23+0.0118029d,+4324.01+0.0212715d,+4404.16+0.0216665d,+1960.82+0.00963631d,+1720.63+0.00845505d,+3722.97+0.01831d,+2241.08+0.0110149d,+8094.06+0.0398825d
2021-01-06 09:45:00 PST,+8415.26+0.0416415d,+3562.73+0.017561d,+8134.23+0.0401734d,+560.067+0.00275707d,+11709.5+0.0579205d,+11508.5+0.0569213d,+11066.4+0.0547239d,+11187+0.0553231d,+4524.4+0.0223104d,+3883.22+0.0190265d,+1960.82+0.0095995d,+5406.24+0.0265061d,+4593.84+0.0225152d,+2681.53+0.0131319d,+2201.03+0.0107766d,+2321.15+0.0113653d,+8294.71+0.0407182d
2021-01-06 10:00:00 PST,+10945.7+0.0539465d,+3082.03+0.0151065d,+7532.14+0.0369891d,+3963.35+0.0194337d,+11428+0.056215d,+9097.72+0.0447074d,+11186.8+0.0550229d,+11106.4+0.0546256d,+4845.02+0.0237657d,+3041.96+0.0148082d,+1920.78+0.00934591d,+2080.92+0.0101258d,+1800.69+0.00876112d,+4404.12+0.0214516d,+4604.5+0.0224295d,+2241.06+0.0109058d,+7331.42+0.0357544d
2021-01-06 10:15:00 PST,+7893.42+0.0390268d,+3242.25+0.0159635d,+6529.16+0.0321924d,+480.049+0.00236077d,+9137.96+0.0451059d,+9660.07+0.0476938d,+11387.9+0.0562665d,+11227.1+0.0554682d,+5326.09+0.026247d,+1520.49+0.00744428d,+1714.63+0.00839545d,+2000.85+0.00979812d,+6368.67+0.0312455d,+1680.6+0.00822873d,+9258.34+0.0454789d,+4724.77+0.023164d,+4965.27+0.0243456d
