# file...... Meter_652A_Power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 08:00:00 PST,1.5539e+005,2.8459e+004,1.8100e+004,1.3668e+004,2.8290e+004,6.6872e+004,6.0007e+002,5.0050e+003,6.8494e+003,5.3257e+003,9.6018e+002,8.0529e+003,9.2017e+002,6.4008e+002,7.6011e+002,3.7228e+003,7.2010e+002,7.2906e+003,1.9608e+003,6.4008e+002,1.8807e+003,1.0802e+003,2.8002e+002,1.8006e+003,1.9207e+003
2021-01-06 08:15:00 PST,1.7765e+005,3.2288e+004,2.0509e+004,1.2985e+004,4.5837e+004,6.6026e+004,1.0802e+003,3.2822e+003,5.8068e+003,5.2053e+003,1.7206e+003,9.3776e+003,7.6012e+002,4.9249e+003,6.8009e+002,3.6026e+003,6.3681e+003,3.8029e+003,2.1209e+003,8.4014e+002,2.0008e+003,1.0402e+003,8.4014e+002,1.7606e+003,1.8006e+003
2021-01-06 08:30:00 PST,1.7327e+005,4.1007e+004,2.3411e+004,1.3066e+004,4.8246e+004,4.7539e+004,1.4404e+003,4.8848e+003,4.0433e+003,4.4840e+003,4.6443e+003,8.4945e+003,5.4860e+003,7.3308e+003,6.8009e+002,3.9631e+003,6.5286e+003,5.6464e+003,1.7206e+003,8.0013e+002,2.8016e+003,1.2003e+003,4.0003e+002,1.8807e+003,1.8006e+003
2021-01-06 08:45:00 PST,1.9833e+005,5.0057e+004,3.3304e+004,1.5837e+004,5.1070e+004,4.8055e+004,1.9608e+003,3.2021e+003,3.6427e+003,6.9297e+003,1.2740e+004,8.3341e+003,9.6187e+003,3.3222e+003,8.0531e+003,4.7646e+003,9.6187e+003,4.3238e+003,2.0008e+003,7.6012e+002,2.2410e+003,1.4004e+003,3.6427e+003,2.0809e+003,1.8407e+003
2021-01-06 09:00:00 PST,1.9281e+005,4.5551e+004,3.7805e+004,1.8332e+004,5.3509e+004,3.7608e+004,6.8009e+002,3.4424e+003,3.8430e+003,8.0129e+003,1.1294e+004,5.4059e+003,8.6552e+003,3.9632e+003,9.0164e+003,7.6117e+003,1.1185e+004,3.9231e+003,2.0408e+003,7.6012e+002,1.8407e+003,1.2403e+003,5.1654e+003,1.9608e+003,1.9207e+003
2021-01-06 09:15:00 PST,1.9821e+005,4.9477e+004,4.3561e+004,2.0383e+004,5.1284e+004,3.3499e+004,8.4014e+002,8.2073e+003,3.5225e+003,9.0968e+003,1.0492e+004,6.4886e+003,7.0500e+003,3.4825e+003,1.1145e+004,7.1704e+003,1.0784e+004,8.2137e+003,2.0809e+003,9.6019e+002,1.8007e+003,1.1603e+003,5.2856e+003,1.9207e+003,3.6427e+003
2021-01-06 09:30:00 PST,2.0684e+005,5.5049e+004,4.2508e+004,1.6198e+004,5.1928e+004,4.1150e+004,6.8009e+002,7.2855e+003,3.9632e+003,8.3743e+003,1.3224e+004,8.6152e+003,7.6520e+003,4.8849e+003,9.9000e+003,9.7393e+003,1.0583e+004,6.5688e+003,1.7606e+003,7.6012e+002,1.8007e+003,1.1603e+003,2.3611e+003,1.7206e+003,2.4012e+003
2021-01-06 09:45:00 PST,1.7903e+005,5.0710e+004,3.8532e+004,2.1111e+004,3.8108e+004,3.0568e+004,6.8009e+002,9.8903e+003,5.3258e+003,6.4083e+003,1.1345e+004,9.6590e+003,4.5642e+003,2.5213e+003,8.2939e+003,1.0663e+004,8.8158e+003,4.6844e+003,2.0008e+003,7.2010e+002,1.8007e+003,1.3604e+003,2.4412e+003,1.8807e+003,2.4812e+003
2021-01-06 10:00:00 PST,1.6802e+005,3.9757e+004,3.3462e+004,2.3244e+004,3.5231e+004,3.6318e+004,6.4008e+002,7.0851e+003,3.6026e+003,6.2880e+003,8.4947e+003,6.9297e+003,4.2837e+003,2.2410e+003,7.0501e+003,8.4144e+003,6.4484e+003,5.2456e+003,2.1609e+003,6.8009e+002,1.9207e+003,1.4004e+003,2.3611e+003,1.8007e+003,2.2410e+003
2021-01-06 10:15:00 PST,1.5737e+005,3.9588e+004,3.1798e+004,2.0748e+004,4.3759e+004,2.1477e+004,1.0402e+003,6.6445e+003,3.5626e+003,4.5241e+003,5.1253e+003,7.7722e+003,3.7629e+003,6.9698e+003,4.7245e+003,6.4083e+003,7.1703e+003,5.8870e+003,3.3222e+003,7.6012e+002,2.1609e+003,1.2403e+003,2.3211e+003,1.7606e+003,2.3211e+003
2021-01-06 10:30:00 PST,1.4216e+005,3.6356e+004,2.9620e+004,2.1432e+004,3.3564e+004,2.1190e+004,8.4014e+002,3.0819e+003,4.0833e+003,4.0433e+003,7.5314e+003,4.6844e+003,7.0500e+003,4.8848e+003,5.8468e+003,7.3308e+003,5.8468e+003,4.6443e+003,2.0008e+003,8.8015e+002,1.9207e+003,1.0402e+003,2.4012e+003,1.7606e+003,2.4412e+003
2021-01-06 10:45:00 PST,1.8425e+005,3.8827e+004,3.4111e+004,2.6388e+004,5.2870e+004,3.2050e+004,8.4014e+002,3.6026e+003,8.7355e+003,4.0433e+003,4.5242e+003,4.9249e+003,6.9297e+003,5.0452e+003,5.8069e+003,8.0532e+003,8.4947e+003,5.5663e+003,2.0008e+003,1.0402e+003,1.9207e+003,1.0802e+003,4.3238e+003,3.1620e+003,2.3611e+003
2021-01-06 11:00:00 PST,1.8997e+005,5.0130e+004,2.8004e+004,2.6512e+004,5.1626e+004,3.3692e+004,9.2017e+002,1.0336e+004,7.9329e+003,6.4886e+003,5.3258e+003,5.0452e+003,6.9298e+003,6.8496e+003,5.7668e+003,4.9650e+003,5.7267e+003,5.4460e+003,1.8807e+003,1.0002e+003,2.0408e+003,1.0802e+003,3.6828e+003,1.9608e+003,5.1654e+003
2021-01-06 11:15:00 PST,1.8688e+005,5.0085e+004,3.8682e+004,2.8322e+004,3.0097e+004,3.9695e+004,1.4003e+003,8.9711e+003,7.6922e+003,5.5664e+003,7.4113e+003,5.4862e+003,6.9700e+003,6.2881e+003,6.7694e+003,8.8561e+003,8.0533e+003,7.2508e+003,1.9208e+003,2.8016e+003,1.8807e+003,9.6019e+002,3.8430e+003,2.0008e+003,6.8897e+003
2021-01-06 11:30:00 PST,1.8065e+005,5.5311e+004,4.4064e+004,2.3885e+004,3.7808e+004,1.9584e+004,6.2845e+003,7.2909e+003,7.3711e+003,5.6465e+003,5.1254e+003,8.2941e+003,7.6117e+003,7.3310e+003,8.8962e+003,9.7796e+003,5.8470e+003,8.2941e+003,1.9208e+003,4.2036e+003,3.4024e+003,1.4804e+003,4.1235e+003,1.7206e+003,3.8831e+003
2021-01-06 11:45:00 PST,1.9014e+005,5.4056e+004,4.8270e+004,2.3080e+004,3.7727e+004,2.7004e+004,4.5229e+003,7.7708e+003,1.0334e+004,5.5664e+003,3.4024e+003,7.2508e+003,7.9730e+003,6.8897e+003,8.6955e+003,7.1304e+003,5.9272e+003,9.3379e+003,1.9608e+003,7.4915e+003,4.3238e+003,3.1220e+003,2.4813e+003,3.2021e+003,5.8069e+003
2021-01-06 12:00:00 PST,1.9060e+005,6.1121e+004,4.5199e+004,2.6195e+004,3.5513e+004,2.2565e+004,4.7230e+003,1.0893e+004,1.1174e+004,7.6119e+003,7.5317e+003,5.7267e+003,7.6119e+003,5.4060e+003,8.3744e+003,7.6119e+003,5.2456e+003,9.2576e+003,2.1610e+003,8.4145e+003,2.1209e+003,1.7606e+003,2.6014e+003,9.1371e+003,3.8030e+003
2021-01-06 12:15:00 PST,2.3376e+005,5.8603e+004,4.8719e+004,3.8788e+004,5.3122e+004,3.4520e+004,6.3242e+003,1.0693e+004,1.0974e+004,6.8497e+003,3.1220e+003,5.8872e+003,7.5718e+003,6.7695e+003,7.6120e+003,7.5719e+003,6.6492e+003,8.8964e+003,1.9208e+003,7.3311e+003,2.1209e+003,6.3283e+003,6.6892e+003,8.2541e+003,5.1254e+003
2021-01-06 12:30:00 PST,2.2938e+005,5.0166e+004,4.8722e+004,4.4668e+004,4.0881e+004,4.4940e+004,3.6417e+003,1.0693e+004,1.1375e+004,3.9232e+003,3.9232e+003,4.5643e+003,7.4114e+003,4.3239e+003,6.3283e+003,5.3660e+003,5.5664e+003,1.1427e+004,1.8807e+003,6.7294e+003,3.7229e+003,7.4114e+003,7.4916e+003,1.0181e+004,6.0075e+003
2021-01-06 12:45:00 PST,2.2834e+005,5.2235e+004,4.0618e+004,4.7057e+004,5.1406e+004,3.7020e+004,2.5207e+003,1.0573e+004,1.0052e+004,5.3660e+003,6.6893e+003,3.4425e+003,8.0133e+003,5.2457e+003,3.8030e+003,6.0476e+003,3.8831e+003,1.1106e+004,2.4408e+003,5.3660e+003,2.4012e+003,5.3660e+003,7.2509e+003,6.7695e+003,7.3713e+003
2021-01-06 13:00:00 PST,2.1189e+005,4.4692e+004,4.1059e+004,4.5796e+004,4.8489e+004,3.1855e+004,1.2403e+003,8.8483e+003,6.9279e+003,6.6090e+003,6.0876e+003,3.1220e+003,7.1304e+003,4.4841e+003,5.6065e+003,3.4825e+003,4.4841e+003,1.0543e+004,7.5272e+003,1.0002e+003,4.1636e+003,4.0434e+003,7.3311e+003,8.4146e+003,7.2910e+003
2021-01-06 13:15:00 PST,1.8785e+005,4.0077e+004,3.6401e+004,4.3161e+004,3.4173e+004,3.4039e+004,1.0802e+003,8.7292e+003,6.0475e+003,3.5626e+003,4.5242e+003,3.5626e+003,6.3683e+003,6.0074e+003,3.5626e+003,4.3639e+003,6.1678e+003,8.4146e+003,6.6452e+003,1.5605e+003,3.7228e+003,1.8007e+003,7.2107e+003,6.0475e+003,7.1706e+003
