# file...... Meter_645_B_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power.real,xfmr_meter_645_B_1:measured_power.real,xfmr_meter_645_B_2:measured_power.real,xfmr_meter_645_B_3:measured_power.real,xfmr_meter_645_B_4:measured_power.real,xfmr_meter_645_B_5:measured_power.real,house_meter_645_B_1:measured_power.real,house_meter_645_B_2:measured_power.real,house_meter_645_B_3:measured_power.real,house_meter_645_B_4:measured_power.real,house_meter_645_B_5:measured_power.real,house_meter_645_B_6:measured_power.real,house_meter_645_B_7:measured_power.real,house_meter_645_B_8:measured_power.real,house_meter_645_B_9:measured_power.real,house_meter_645_B_10:measured_power.real,house_meter_645_B_11:measured_power.real,house_meter_645_B_12:measured_power.real,house_meter_645_B_13:measured_power.real,house_meter_645_B_14:measured_power.real,house_meter_645_B_15:measured_power.real,house_meter_645_B_16:measured_power.real,house_meter_645_B_17:measured_power.real,house_meter_645_B_18:measured_power.real,house_meter_645_B_19:measured_power.real
2021-01-06 08:00:00 PST,1.9098e+005,4.0826e+003,9.4930e+003,4.6482e+004,1.2374e+005,7.1714e+003,1.1603e+003,3.6003e+002,6.0007e+002,3.6003e+002,3.6003e+002,3.6003e+002,4.8005e+002,4.0003e+002,7.6012e+002,1.2403e+003,1.1603e+003,1.4404e+003,1.0802e+003,1.2003e+003,1.4004e+003,1.2003e+003,1.2003e+003,1.2003e+003,1.2003e+003
2021-01-06 08:15:00 PST,2.0967e+005,9.3753e+003,6.6464e+003,5.3159e+004,1.3110e+005,9.3763e+003,8.8016e+002,5.6006e+002,4.0003e+002,3.6003e+002,2.8002e+002,1.9208e+003,2.8016e+003,2.1610e+003,9.6019e+002,6.8009e+002,8.8016e+002,7.2011e+002,8.8016e+002,6.4008e+002,7.2011e+002,1.1603e+003,7.2011e+002,7.2011e+002,8.4015e+002
2021-01-06 08:30:00 PST,2.0513e+005,6.9683e+003,6.2457e+003,6.0969e+004,1.2430e+005,6.6471e+003,6.0007e+002,2.8002e+002,3.6003e+002,2.3611e+003,9.6019e+002,7.6012e+002,1.3204e+003,3.2002e+002,6.0007e+002,6.4008e+002,6.8009e+002,8.4014e+002,8.4014e+002,8.4014e+002,6.0007e+002,1.2003e+003,8.4015e+002,7.6012e+002,1.0402e+003
2021-01-06 08:45:00 PST,2.1126e+005,5.0440e+003,5.8850e+003,5.7184e+004,1.3525e+005,7.8904e+003,4.0003e+002,2.8002e+002,2.8002e+002,1.1203e+003,9.2017e+002,4.4004e+002,1.0402e+003,5.6006e+002,6.4008e+002,6.8009e+002,7.2011e+002,8.4014e+002,5.6006e+002,8.4014e+002,8.8016e+002,7.2011e+002,8.0013e+002,7.6012e+002,6.8010e+002
2021-01-06 09:00:00 PST,2.1058e+005,4.8436e+003,5.0036e+003,5.9741e+004,1.3458e+005,6.4063e+003,4.4004e+002,6.0007e+002,3.6003e+002,1.0802e+003,8.4014e+002,4.0003e+002,8.0013e+002,3.2002e+002,8.0013e+002,7.2011e+002,6.0007e+002,6.8009e+002,4.8005e+002,6.0007e+002,4.4004e+002,6.8009e+002,5.2006e+002,7.6012e+002,5.6006e+002
2021-01-06 09:15:00 PST,2.2324e+005,6.8470e+003,5.3642e+003,5.9342e+004,1.4507e+005,6.6068e+003,1.0002e+003,9.6019e+002,1.4004e+003,8.0013e+002,8.4014e+002,2.0001e+002,8.8016e+002,7.6012e+002,5.2006e+002,7.2011e+002,7.2011e+002,5.2006e+002,8.4014e+002,4.8005e+002,8.0013e+002,7.6012e+002,4.4004e+002,6.8010e+002,7.2011e+002
2021-01-06 09:30:00 PST,2.4591e+005,7.4883e+003,5.5244e+003,7.0111e+004,1.5388e+005,8.8914e+003,1.3604e+003,1.1603e+003,1.1603e+003,8.8016e+002,1.0402e+003,2.4001e+002,8.4014e+002,8.0013e+002,4.8005e+002,5.2006e+002,6.4008e+002,8.0013e+002,8.4014e+002,7.6012e+002,7.2011e+002,7.6012e+002,1.0002e+003,7.6012e+002,1.0002e+003
2021-01-06 09:45:00 PST,2.4303e+005,9.4554e+003,7.0473e+003,7.2085e+004,1.4334e+005,1.1097e+004,3.4825e+003,8.8016e+002,4.4004e+002,1.0002e+003,1.0402e+003,7.6012e+002,1.0002e+003,8.4014e+002,8.4014e+002,9.2017e+002,8.8016e+002,1.4004e+003,5.6006e+002,8.4014e+002,8.0013e+002,8.0013e+002,8.4015e+002,6.8010e+002,9.2018e+002
2021-01-06 10:00:00 PST,2.3244e+005,8.2903e+003,7.0876e+003,6.4785e+004,1.4201e+005,1.0255e+004,2.0008e+003,8.8016e+002,6.8009e+002,7.6012e+002,8.0013e+002,8.4014e+002,1.1603e+003,1.1603e+003,6.0007e+002,8.8016e+002,9.6019e+002,1.8007e+003,6.8009e+002,6.0007e+002,6.4008e+002,9.2017e+002,9.6019e+002,8.0013e+002,7.2011e+002
2021-01-06 10:15:00 PST,2.1398e+005,7.8490e+003,7.5684e+003,5.5194e+004,1.3150e+005,1.1860e+004,1.4004e+003,8.8016e+002,9.2017e+002,5.6006e+002,8.4014e+002,1.3204e+003,1.0402e+003,8.8016e+002,6.0007e+002,1.2003e+003,8.0013e+002,1.4804e+003,8.8016e+002,8.4014e+002,6.4008e+002,1.1203e+003,1.6005e+003,8.4015e+002,8.4015e+002
2021-01-06 10:30:00 PST,2.1564e+005,7.0873e+003,8.3703e+003,5.7057e+004,1.3101e+005,1.2102e+004,1.0802e+003,9.6019e+002,1.0402e+003,3.6003e+002,8.4014e+002,8.4014e+002,9.6019e+002,1.0002e+003,6.4008e+002,1.4004e+003,1.2403e+003,7.2011e+002,8.8016e+002,1.5205e+003,9.6019e+002,1.0002e+003,1.1603e+003,1.0402e+003,1.2003e+003
2021-01-06 10:45:00 PST,2.1419e+005,7.8490e+003,9.0923e+003,5.8168e+004,1.2873e+005,1.0335e+004,1.3204e+003,1.2803e+003,1.1203e+003,3.2002e+002,9.2017e+002,9.2017e+002,9.2017e+002,1.0402e+003,1.0002e+003,2.0008e+003,1.2403e+003,9.6019e+002,6.4008e+002,1.5205e+003,8.8016e+002,8.4014e+002,1.1603e+003,1.4004e+003,1.6005e+003
2021-01-06 11:00:00 PST,2.0711e+005,6.8869e+003,8.0094e+003,5.8334e+004,1.2289e+005,1.0977e+004,1.0402e+003,1.0002e+003,1.0802e+003,3.6003e+002,9.6019e+002,8.8016e+002,5.6006e+002,1.0002e+003,7.6012e+002,9.2017e+002,1.6806e+003,9.2017e+002,9.6019e+002,1.0402e+003,8.4014e+002,8.8016e+002,8.4015e+002,1.5605e+003,1.2403e+003
2021-01-06 11:15:00 PST,2.1115e+005,7.6085e+003,6.8067e+003,5.7710e+004,1.2872e+005,1.0296e+004,1.0002e+003,8.4014e+002,1.1203e+003,1.8004e+003,2.8002e+002,9.2017e+002,4.8005e+002,1.1603e+003,6.0007e+002,9.6019e+002,7.6012e+002,5.2006e+002,9.2017e+002,1.0002e+003,1.0402e+003,1.0002e+003,7.2011e+002,1.1203e+003,1.0002e+003
2021-01-06 11:30:00 PST,2.0302e+005,7.2480e+003,8.0494e+003,4.4832e+004,1.2829e+005,1.4591e+004,8.8016e+002,9.2017e+002,1.0002e+003,2.0005e+003,1.6001e+002,1.0402e+003,7.6012e+002,4.8005e+002,9.2017e+002,9.6019e+002,7.2011e+002,1.1203e+003,1.4404e+003,1.1603e+003,8.4014e+002,8.8016e+002,1.1203e+003,9.6019e+002,1.1603e+003
2021-01-06 11:45:00 PST,2.0346e+005,7.2080e+003,9.3730e+003,4.4545e+004,1.2460e+005,1.7732e+004,9.6019e+002,9.6019e+002,1.1603e+003,2.0005e+003,1.2000e+002,1.1203e+003,5.2006e+002,3.6003e+002,1.1203e+003,1.0002e+003,8.0013e+002,1.8007e+003,9.2017e+002,1.8007e+003,8.0013e+002,1.1203e+003,1.1203e+003,1.0002e+003,8.8016e+002
2021-01-06 12:00:00 PST,2.0975e+005,7.5288e+003,7.6083e+003,5.0475e+004,1.3021e+005,1.3913e+004,1.1203e+003,1.1603e+003,1.2403e+003,1.8007e+003,3.2002e+002,1.0002e+003,4.4004e+002,4.4004e+002,1.1603e+003,8.0013e+002,8.0013e+002,9.2017e+002,1.2803e+003,8.0013e+002,1.0002e+003,8.4014e+002,8.0013e+002,1.2003e+003,7.6012e+002
2021-01-06 12:15:00 PST,2.0326e+005,7.3284e+003,9.9343e+003,4.5395e+004,1.3343e+005,7.1673e+003,8.8016e+002,9.6019e+002,9.6019e+002,6.4008e+002,3.2002e+002,8.8016e+002,5.6006e+002,2.1209e+003,1.0802e+003,8.4014e+002,1.0402e+003,1.6005e+003,1.4804e+003,1.4004e+003,1.6806e+003,8.0013e+002,9.6019e+002,1.0402e+003,1.0802e+003
